cluster,city,state,name,archetype,recommended_topic,format_recommendation,priority,language,personalized_hook,website,phone,notes
Kerala,Trivandrum,Kerala,Swathi Thirunal Government Music College,conservatory,Music Theory & Ear Training residency,Week-long residency,Highest,English/Malayalam,"As Kerala's premier Carnatic institution your students have deep training in Indian classical music. A residency from a multi-instrumentalist on cross-tradition Music Theory & Ear Training could complement that beautifully.",,,Premier Carnatic institution
Kerala,Trivandrum,Kerala,Government College for Women - Music Department,conservatory,Music Theory & Ear Training + Vocal Harmony,Full-day workshop,High,English/Malayalam,"Your department's choir programmes at Vettukad Church and ongoing alumni-collaborative outreach show a tradition of taking music beyond the classroom. I'd love to support that with a session for your students.",https://gcwtvm.ac.in,,Active outreach tradition
Kerala,Trivandrum,Kerala,Trinity Lyceum / Trinity College Trivandrum,international_school,Multi-instrumental masterclass,Half-day intensive,Medium,English,"Trinity has a strong music and theatre tradition. I'd love to offer a multi-instrumental masterclass that reaches both your music and drama students.",,,Established Christian school
Kerala,Trivandrum,Kerala,Mar Ivanios College,theatre_campus,Vocal Harmony + theatre music workshop,Full-day workshop,Medium,English/Malayalam,"Your strong cultural arts tradition makes Mar Ivanios feel like a natural stop. I'd love to offer a session on vocal harmony + arrangement applied to theatre and choral music.",,,Active cultural arts community
Kerala,Trivandrum,Kerala,Kerala Mar Thoma Cathedral choir / CSI Cathedral choir,DO_NOT_USE_INSTANTLY,Sacred music arrangement workshop,Half-day intensive,High,English/Malayalam,"HAND-WRITE. Reach via parish office; explain your background and offer a workshop on arrangement / vocal harmony for the choir.",,,Reach via parish office
Kerala,Kozhikode,Kerala,Calicut University Department of Music,conservatory,Music Theory & Ear Training,Full-day workshop,Medium,English/Malayalam,"As a degree-granting music department a session on Music Theory & Ear Training delivered through a multi-instrumentalist's lens could fit your formal curriculum.",,,Optional city
Kerala,Kozhikode,Kerala,Kozhikode CSI / Mar Thoma church choirs,DO_NOT_USE_INSTANTLY,Choir clinics,Half-day intensive,Medium,English/Malayalam,"HAND-WRITE. Network of strong Protestant church choirs in Kozhikode region. Reach via diocese office.",,,
Kerala,Kottayam,Kerala,Mar Thoma Cathedral / CSI / Syrian Orthodox cathedral choirs,DO_NOT_USE_INSTANTLY,Sacred music arrangement workshop,Half-day intensive,High,English/Malayalam,"HAND-WRITE. Kottayam region has the densest concentration of Mar Thoma and Syrian Orthodox church choirs in Kerala. Worth doing a multi-church circuit when in the area.",,,Multi-denomination region
Goa,Panjim,Goa,Kala Academy Goa - Department of Western Music,conservatory,Riffs Method + Modern Production residency,Week-long residency,Highest,English/Konkani,"As India's first formal Western music institution and home of the revived 52-member Symphony Orchestra under Director Fr. Romeo Monteiro your department has unique standing. I'd love to bring a residency that adds my multi-instrumental and daily-composition perspective.",https://kalaacademygoa.co.in,,Director: Fr. Romeo Monteiro
Goa,Old Goa,Goa,Rachol Seminary / Santa Cecilia Choir,DO_NOT_USE_INSTANTLY,Sacred music arrangement workshop,Full-day workshop,Highest,English/Konkani/Latin,"HAND-WRITE. Founded 1897 your seminary choir's recent 88-singer + 51-musician concerts at Bom Jesus Basilica show the depth of polyphonic tradition. I'd love to offer a workshop on sacred music arrangement that respects that tradition.",,,Catholic seminary choir
Goa,Margao,Goa,Stuti Choral Ensemble,DO_NOT_USE_INSTANTLY,Vocal Harmony + recording techniques,Full-day workshop,High,English/Konkani,"HAND-WRITE. Founded by Fr. Eufemiano Miranda to revive Goa's choral tradition your performance of Handel's Messiah at Kala Academy showed serious ambition. A session on vocal harmony + recording could support that.",,,Founded by Fr. Eufemiano Miranda
Goa,Pilar,Goa,Pilar Music School / Pilar Music Academy,contemporary_academy,Multi-instrumental masterclass,Full-day workshop,High,English/Konkani,"Founded by Fr. Peter Cardozo your parochial-school music heritage is one of Goa's most important traditions. A multi-instrumental masterclass tied to your structured pedagogy could be a meaningful addition.",,,Founded by Fr. Peter Cardozo (Society of Pilar)
Goa,Margao,Goa,Vakhann'nni St. Joaquim's Choir,DO_NOT_USE_INSTANTLY,Sacred music arrangement workshop,Half-day intensive,High,English/Konkani,"HAND-WRITE. Your 250-member choir-orchestra concerts including the felicitation of new Auxiliary Bishop Simião Fernandes show extraordinary scale. A workshop on arrangement could be a useful resource for your music ministers.",,,Led by Fr. Simon D'Cunha
Goa,Panjim,Goa,Goa Symphony Orchestra,jazz_venue,Performance + workshop combo,Performance + 2-hour workshop,Medium,English,"As one of India's only large symphony orchestras outside Mumbai with 52 members I'd love to perform with your group during a Goa visit and offer a workshop alongside.",https://kalaacademygoa.co.in,,Affiliated with Kala Academy
Goa,Panjim,Goa,Goa Philharmonic Choir,DO_NOT_USE_INSTANTLY,Choir clinic,Half-day intensive,Medium,English/Konkani,"HAND-WRITE. Founded by Maestro Lourdino Barreto your tradition of polyphonic Goan choir music is unique. Reach via Kala Academy.",,,Founded by Maestro Lourdino Barreto
Goa,Pilar,Goa,Don Bosco Oratory Pilar,international_school,Multi-instrumental masterclass,Half-day intensive,Medium,English/Konkani,"Your Salesian school music program connects to a network across India. A multi-instrumental masterclass would fit your active music tradition.",,,Salesian school
Mangalore,Mangalore,Karnataka,Mangalore Diocese parish choirs (multi-church circuit),DO_NOT_USE_INSTANTLY,Sacred music + arrangement workshop circuit,Half-day intensive x 3-4 churches,Highest,English/Konkani/Kannada,"HAND-WRITE. Mangalore Diocese has dozens of active parish choirs. A 3-4 day multi-parish workshop circuit could serve a large network of music ministers in one visit. Reach via Diocese office.",,,Multi-parish circuit possible
Mangalore,Mangalore,Karnataka,St. Aloysius College,international_school,Multi-instrumental masterclass + theatre music,Full-day workshop,Highest,English/Konkani/Kannada,"Famous for arts and humanities and the Catholic heritage of Mangalore. I'd love to offer a multi-instrumental masterclass with a theatre-music module that bridges your music and drama programs.",https://staloysius.edu.in,,Catholic college; arts strength
Mangalore,Mangalore,Karnataka,St. Agnes College,international_school,Vocal Harmony + arrangement,Full-day workshop,High,English/Konkani/Kannada,"Your women's college has a strong tradition of student musicianship and arts. A workshop on vocal harmony + arrangement specifically tailored for your singers could be a great fit.",,,Women's Catholic college
Mangalore,Manipal,Karnataka,Manipal Academy of Higher Education (MAHE) / Manipal Institute of Communication,international_school,Multi-instrumental masterclass + Modern Music Production,Week-long residency,High,English,"Your massive multi-disciplinary campus with active cultural events is one of the most exciting student environments in India. A residency including production and multi-instrumental workshops could engage students across faculties.",https://manipal.edu,,Massive campus; production programs
Mangalore,Mangalore,Karnataka,Mangalorean Catholic music ministers (parish-level),DO_NOT_USE_INSTANTLY,Choir clinic,Half-day intensive,High,Konkani/English,"HAND-WRITE. Mangalore Catholic Konkani church music tradition deeply receptive to musician visits. Connect via Diocese music ministers' association.",,,Konkani church music tradition
Mussoorie,Mussoorie,Uttarakhand,Woodstock School,international_school,Multi-instrumental residency + Riffs Method + jazz improvisation for jazz band,Week-long residency,Highest,English,"Woodstock's music block — studios practice cells ensemble rooms an Indian music studio and a music library — combined with Mr. Amitavo (Music HOD) and Cameron (Woodwind specialist) makes you the most music-equipped boarding school in India. I'd love to bring a week-long residency working with your jazz band marching band concert band and choirs.",https://www.woodstockschool.in,,Music HOD: Amitavo; Woodwind: Cameron
Mussoorie,Mussoorie,Uttarakhand,Tibetan Homes Foundation School,international_school,Multi-instrumental masterclass,Half-day intensive,Medium,English,"Your school's heritage and the Tibetan musical tradition give a unique cultural context. I'd love to offer a multi-instrumental masterclass that respects that.",,,Refugee/heritage school
Mussoorie,Mussoorie,Uttarakhand,Wynberg Allen School,international_school,Multi-instrumental masterclass,Half-day intensive,Medium,English,"Your established Christian boarding tradition includes active music programs. A multi-instrumental masterclass could fit your weekend program well.",,,Established Christian boarding
Mussoorie,Mussoorie,Uttarakhand,St. George's College Mussoorie,international_school,Multi-instrumental masterclass,Half-day intensive,Medium,English,"As an established Catholic boarding school in Mussoorie I'd love to offer a multi-instrumental masterclass for your music students.",,,Catholic boarding school
Mussoorie,Mussoorie,Uttarakhand,Hampton Court Academy,international_school,Vocal Harmony + Music Theory,Half-day intensive,Low,English,"Your established girls' boarding school's music program would benefit from a vocal harmony + music theory session.",,,Girls' boarding school
Dehradun,Dehradun,Uttarakhand,The Doon School,international_school,Multi-instrumental residency + jazz improvisation,Week-long residency,Highest,English,"As India's most prominent boys' boarding school with ICSE/IB programs and a strong arts tradition I'd love to bring a week-long residency that includes work with your music ensembles and jazz improvisation sessions for senior students.",https://www.doonschool.com,,India's most prestigious boys' boarding school
Dehradun,Dehradun,Uttarakhand,Welham Boys' School,international_school,Multi-instrumental masterclass,Full-day workshop,High,English,"As Doon's traditional feeder school and a powerhouse music tradition in your own right I'd love to offer a multi-instrumental masterclass for your students.",,,Established music program
Dehradun,Dehradun,Uttarakhand,Welham Girls' School,international_school,Vocal Harmony + arrangement workshop,Full-day workshop,Highest,English,"As one of India's top girls' boarding schools with a strong arts emphasis your students would benefit from a vocal harmony + arrangement workshop tailored to their level.",,,Top girls' boarding school
Dehradun,Dehradun,Uttarakhand,The Asian School Dehradun,international_school,Multi-instrumental masterclass,Full-day workshop,Medium,English,"Your modern boarding school's music program would benefit from a multi-instrumental masterclass with a contemporary edge.",,,Modern boarding school
Dehradun,Dehradun,Uttarakhand,Ecole Globale International Girls' School,international_school,Vocal Harmony + Music Theory,Full-day workshop,Medium,English,"Your Cambridge curriculum girls' boarding combines academic rigor with arts. A vocal harmony + music theory workshop could fit your residential weekend programming.",https://www.ecoleglobale.com,,Cambridge curriculum
Dehradun,Dehradun,Uttarakhand,Unison World School,international_school,Multi-instrumental masterclass,Half-day intensive,Medium,English,"Your international curriculum and growing music program would benefit from a multi-instrumental masterclass for your students.",,,Growing music program
Hill Stations,Sanawar,Himachal Pradesh,The Lawrence School Sanawar,international_school,Multi-instrumental residency + Vocal Harmony,Week-long residency,High,English,"Your senior secondary level offerings including Hindustani Vocal Music alongside Western traditions create a perfect setting for a multi-instrumental residency that bridges both traditions.",,,Asia's oldest co-ed boarding (1847)
Hill Stations,Nainital,Uttarakhand,Sherwood College,international_school,Multi-instrumental masterclass,Full-day workshop,Medium,English,"Your 1869 heritage and alumni including Amitabh Bachchan reflect a strong arts tradition. I'd love to offer a multi-instrumental masterclass for your students.",,,1869-founded
Hill Stations,Shimla,Himachal Pradesh,Bishop Cotton School Shimla,international_school,Multi-instrumental masterclass,Full-day workshop,Medium,English,"Your established Christian boarding tradition and active music program would benefit from a multi-instrumental masterclass.",,,Established Christian boarding
Pondicherry,Pondicherry,Pondicherry,Trinity School of Music Pondicherry,contemporary_academy,Multi-instrumental masterclass,Full-day workshop,High,English/Tamil,"Founded 1996 by J. Gaspar Arokiaraj Mouttapa your school is the state's first public Western music school. I'd love to bring a multi-instrumental masterclass that fits your foundational-to-deeper-aspects pedagogy.",http://trinitymusic.org,,First public Western music school in Pondicherry
Pondicherry,Auroville,Pondicherry,Auroville (Sri Aurobindo Auditorium / Aurelec Forum),theatre_campus,Vocal Harmony + performance + theatre music workshop,Full-day workshop,High,English,"Auroville's extraordinary theatre and music tradition since 1969 across English French and Tamil makes your community one of the most international-feeling artistic spaces in India. I'd love to offer a session on vocal harmony + theatre music.",https://auroville.org,,750-seat auditorium; international community
Pondicherry,Pondicherry,Pondicherry,Pondicherry University Music Department,conservatory,Music Theory & Ear Training,Full-day workshop,Medium,English/Tamil,"As a Central University with formal music programs your students would benefit from a session on Music Theory & Ear Training delivered through a multi-instrumentalist's lens.",,,Central University
Pondicherry,Pondicherry,Pondicherry,Sri Aurobindo Society / Mother's centres,DO_NOT_USE_INSTANTLY,Vocal Harmony / sacred music workshop,Half-day intensive,Medium,English,"HAND-WRITE. Active spiritual-music tradition; reach via Society office.",,,Sri Aurobindo cultural network
Coimbatore,Coimbatore,Tamil Nadu,The Coimbatore School of Music (TCSM),contemporary_academy,Multi-instrumental masterclass,Full-day workshop,Medium,English/Tamil,"Your wide range of Western instruments and music theory courses make TCSM a strong fit for a multi-instrumental masterclass that ties theory to performance.",https://tcsm.in,,Established academy
Coimbatore,Coimbatore,Tamil Nadu,MKVS Music & Multimedia Arts Academy,contemporary_academy,Modern Music Production + DAW workflow,Full-day workshop,Medium,English/Tamil,"Your multimedia + music focus puts production-curious students at the center. A modern-production workshop could give them a working framework they can apply immediately.",https://mkvsmusicacademy.com,,Multimedia + music focus
Coimbatore,Coimbatore,Tamil Nadu,Prismone Music Academy,contemporary_academy,Multi-instrumental masterclass,Half-day intensive,Low,English/Tamil,"Your range of instruments and genres for all ages makes a multi-instrumental masterclass a natural fit.",https://prismonemusicacademy.com,,Comprehensive academy
Mysore,Mysore,Karnataka,University of Mysore Faculty of Music,conservatory,Music Theory & Ear Training,Full-day workshop,Medium,English/Kannada,"Your strong Hindustani and Carnatic heritage gives students a deep classical foundation. A session on cross-tradition Music Theory & Ear Training could complement that.",,,Strong Hindustani + Carnatic heritage
Mysore,Mysore,Karnataka,JSS Music College,conservatory,Multi-instrumental masterclass,Full-day workshop,Medium,English/Kannada,"Your active music education program would benefit from a multi-instrumental masterclass that bridges classical and contemporary approaches.",,,Active music education
Mysore,Mysore,Karnataka,St. Joseph's School / Christian schools Mysore,international_school,Multi-instrumental masterclass,Half-day intensive,Medium,English/Kannada,"Christian-tradition schools in Mysore have active music programs. A multi-instrumental masterclass could fit your existing offerings.",,,Christian-tradition schools
Madurai,Madurai,Tamil Nadu,Madurai Kamaraj University Music Department,conservatory,Music Theory & Ear Training,Full-day workshop,Medium,English/Tamil,"Your active music department would benefit from a session on Music Theory & Ear Training from a multi-instrumentalist's perspective.",,,Active music department
Madurai,Madurai,Tamil Nadu,Lady Doak College,international_school,Vocal Harmony + Music Theory,Full-day workshop,Medium,English/Tamil,"Your Christian women's college's arts tradition would benefit from a vocal harmony + music theory workshop tailored to your singers.",,,Christian women's college
Madurai,Madurai,Tamil Nadu,American College Madurai,international_school,Multi-instrumental masterclass,Full-day workshop,Medium,English/Tamil,"Your Christian missionary heritage and active arts community make American College a natural fit for a multi-instrumental masterclass.",,,Christian missionary heritage
Pune,Pune,Maharashtra,Symbiosis School of Visual Arts and Photography / Symbiosis Liberal Arts,theatre_campus,Multi-instrumental masterclass + theatre music,Full-day workshop,Medium,English,"Your liberal arts and creative programs draw students who'd benefit from a multi-instrumental masterclass with a theatre-music module.",,,Active arts programs
Pune,Pune,Maharashtra,Pune Catholic parish choirs (St. Patrick's Cathedral / Pune Catholic Diocese),DO_NOT_USE_INSTANTLY,Sacred music arrangement workshop,Half-day intensive,Medium,English/Marathi,"HAND-WRITE. Pune Catholic community has strong choir tradition; reach via Diocese music director.",,,Reach via Pune Catholic Diocese
Pune,Pune,Maharashtra,Mahindra United World College,international_school,Multi-instrumental residency,Week-long residency,Medium,English,"As a UWC school your international community would benefit from a residency that brings my multi-instrumental approach into your IB curriculum.",,,UWC international school
Hyderabad,Hyderabad,Telangana,Suchitra Academy of Performing Arts,contemporary_academy,Multi-instrumental masterclass + Riffs Method,Full-day workshop,Medium,English/Telugu,"Your performing arts focus would benefit from a multi-instrumental masterclass with a Riffs Method module on daily composition practice.",,,Active performing arts academy
Hyderabad,Hyderabad,Telangana,Hyderabad Western music academies (Trinity College London centres),contemporary_academy,Multi-instrumental masterclass,Full-day workshop,Medium,English,"Trinity College London exam centres in Hyderabad serve a serious music student community that would benefit from a visiting-artist masterclass.",,,Multiple Trinity centres
Hyderabad,Hyderabad,Telangana,Christian community choirs Hyderabad,DO_NOT_USE_INSTANTLY,Sacred music arrangement workshop,Half-day intensive,Medium,English/Telugu,"HAND-WRITE. Hyderabad has a large active Christian community with established church choirs. Reach via Church of South India Hyderabad Diocese or Catholic Archdiocese.",,,Reach via Diocese offices
Indore,Indore,Madhya Pradesh,Daly College,international_school,Multi-instrumental masterclass,Full-day workshop,Medium,English,"Your established boarding-school music program with princely heritage would benefit from a multi-instrumental masterclass.",,,1882-founded; royal heritage
Indore,Indore,Madhya Pradesh,Indore Christian community choirs,DO_NOT_USE_INSTANTLY,Sacred music arrangement workshop,Half-day intensive,Low,English/Hindi,"HAND-WRITE. Reach via Indore Christian community network.",,,Christian community network
Gwalior,Gwalior,Madhya Pradesh,Scindia School,international_school,Multi-instrumental masterclass,Full-day workshop,Medium,English,"Your princely heritage and established music program would benefit from a multi-instrumental masterclass for your students.",,,Established 1897; royal heritage
Lucknow,Lucknow,Uttar Pradesh,Bhatkhande Sangit Vidyapith,conservatory,Music Theory & Ear Training (cross-tradition),Full-day workshop,Medium,English/Hindi,"Your deep Hindustani classical music tradition would benefit from a session that bridges your formal curriculum with multi-instrumental and Western music theory perspectives.",,,Deep Hindustani classical heritage
Varanasi,Varanasi,Uttar Pradesh,BHU Faculty of Performing Arts,conservatory,Music Theory & Ear Training (cross-tradition),Full-day workshop,Medium,English/Hindi,"Banaras Hindu University's Faculty of Performing Arts is one of India's most prestigious music degree programs. A session on cross-tradition Music Theory & Ear Training from a multi-instrumentalist's perspective could complement your formal curriculum.",,,Prestigious degree program
Khairagarh,Khairagarh,Chhattisgarh,Indira Kala Sangit Vishwavidyalaya,conservatory,Music Theory & Ear Training,Full-day workshop,Low,English/Hindi,"As one of India's only universities dedicated entirely to music dance and fine arts your students would benefit from a session on Music Theory & Ear Training from a multi-instrumentalist's perspective.",,,Music-dance-fine-arts university
Chandigarh,Chandigarh,Chandigarh,Pracheen Kala Kendra,conservatory,Music Theory & Ear Training,Full-day workshop,Low,English/Hindi/Punjabi,"Your established music examination and education body in Chandigarh would benefit from a session on Music Theory & Ear Training from a visiting multi-instrumentalist.",,,Established music body
Bhubaneswar,Bhubaneswar,Odisha,Utkal University of Culture,conservatory,Music Theory & Ear Training,Full-day workshop,Low,English/Odia,"Your formal music programs would benefit from a session on Music Theory & Ear Training from a visiting multi-instrumentalist.",,,Cultural university
