email,first_name,last_name,company_name,archetype,recommended_topic,language_confidence,priority,personalized_hook,city,country,website,phone,notes
,,,PLAYGROUND Studio,production_studio,"Modern Music Production + DAW workflow; Mixing/Mastering masterclass",high,High,"PLAYGROUND being part of Vietnam's first dedicated music ecosystem and your work with Ravolution makes you exactly the kind of room I'd love to spend time in — I produce daily and could run a session for your in-house team or a clinic open to local producers.",Hanoi,Vietnam,,+84 868 330 658,"International-standard studio; collaborates with Ravolution Music Festival; 13B Tong Dan, Hanoi"
,,,M Talk Studio,production_studio,"Modern Music Production + Recording techniques",medium,Medium,"M Talk's continuous evolution since 2010 under Pham Tuan Anh's direction — and your focus on innovative production — makes a producer-to-producer workshop a natural fit.",Hanoi,Vietnam,,,"Founded 2010 by Pham Tuan Anh; soundproofing/acoustic-treatment focus"
,,,VietMusic Studio,production_studio,"Recording & Mixing Workshop — practical home/project studio focus",medium,Low,"Your accessible price-point and youth focus makes a practical home-recording/mixing workshop something that could genuinely help your community of aspiring singers.",Hanoi,Vietnam,https://www.facebook.com/vietmusicstudio2012/,+84 334 084 016,"Established 2012; multi-location"
,,,Ho Chi Minh City Conservatory of Music,conservatory,"Music Theory & Ear Training; Piano Mastery + Improvisation",high,Highest,"HCMC Conservatory's hosting of the Glenn Korff School of Music delegation in 2025 makes me hopeful you'd be open to a similarly-structured visit from Bangalore.",Ho Chi Minh City,Vietnam,https://hcmcons.vn,,"Largest music conservatory in southern Vietnam; verified open to guest artists"
,,,Auftdart Academy of Music & Performing Arts (AAMPA),contemporary_academy,"Multi-instrumental masterclass; Vocal Harmony arrangement & recording techniques (advanced)",high,Highest,"Your faculty's training across Johns Hopkins, Codarts, Ville De Luxembourg and Mahidol creates the kind of internationally-fluent room where my multi-instrumental and Indian-influenced approach would feel right at home.",Ho Chi Minh City,Vietnam,https://auftdart.com,,"Saigon's most prestigious private academy"
,,,Erato School of Music & Performing Arts,contemporary_academy,"Multi-instrumental masterclass + Modern Music Production",high,High,"Your hosting of the Glenn Korff School of Music delegation last year gives me hope you'd be open to another visiting-musician session from a multi-instrumentalist out of Bangalore.",Ho Chi Minh City,Vietnam,https://eratoschool.edu.vn,,"Verified open to international guest artists"
,,,Renaissance International School Saigon,international_school,"Guest artist masterclass — adaptable to existing music curriculum",high,High,"Renaissance hosting Glenn Korff faculty in 2025 made me think a similarly-structured visit could work — I'd love to put together a session tailored to your music students.",Ho Chi Minh City,Vietnam,https://www.renaissance.edu.vn,,"Verified open to international guest artists"
,,,Saigon South International School (SSIS),international_school,"Guest artist masterclass for instrumental, choir, or band students",high,High,"Your ensemble focus — string orchestra, concert band, choir — and multiple annual public performances make SSIS feel like a place where a guest workshop would translate immediately into something performable.",Ho Chi Minh City,Vietnam,https://www.ssis.edu.vn,,"Strong music curriculum across instrumental + vocal"
,,,APU American International School (HCMC Campus),international_school,"Guest artist masterclass; possible International Arts Week tie-in",high,Medium,"APU's annual International Arts Week sounds like exactly the kind of event a visiting Indian multi-instrumentalist could plug into — happy to design something around that or a standalone session.",Ho Chi Minh City,Vietnam,https://apu.edu.vn,,"District 11 campus; California curriculum"
,,,The Performing Arts Academy of HCMC (PAA),contemporary_academy,"Multi-instrumental masterclass; Live Performance Coaching",medium,Medium,"PAA's performing arts focus across multiple disciplines makes me think a session that combines musical fundamentals with live performance coaching could land well with your students.",Ho Chi Minh City,Vietnam,https://www.facebook.com/paa.hcmc/,,"Established Sept 2009"
,,,C-FLY Music Center,contemporary_academy,"Multi-instrumental masterclass — Piano, Guitar, Vocals fundamentals",medium,Medium,"Your reach across four campuses (Tan Phu, Phu My Hung, Thu Duc, and Can Tho) and a 7-instrument curriculum is rare — a single visiting workshop could potentially reach students at multiple locations.",Ho Chi Minh City,Vietnam,,,"4 campuses across HCMC + Can Tho"
,,,Tuan Ngoc Music Center,contemporary_academy,"Piano Mastery + Improvisation; Multi-instrumental session",low,Low,"Your Japanese-method approach with HCMC Conservatory-trained instructors creates a strong technical foundation that an Indian-influenced improvisation and improvisation workshop could complement.",Ho Chi Minh City,Vietnam,https://tuanngocmusic.com,,"Vietnamese-primary; verify English capability before sending"
,,,Sax n Art Jazz Club,jazz_venue,"Workshop + performance combo — Jazz Improvisation",high,Highest,"PERSONAL APPROACH. Mr. Tran, your Berklee training and the way you've integrated Vietnamese musical sensibility into the jazz house band is the kind of cross-tradition work I admire — I'd love to come perform and run a workshop together.",Ho Chi Minh City,Vietnam,,,"Founded by Tran Manh Tuan, Berklee-trained Vietnamese saxophonist. Hand-write."
,,,Legato Bar,jazz_venue,"Performance + short workshop on improvisation",high,High,"Your reputation as a hub for HCMC musicians and English-speaking management makes Legato an easy first stop on any visit — happy to perform and offer a short workshop if useful.",Ho Chi Minh City,Vietnam,https://www.barlegato.com,,"Established jazz venue; English-fluent management"
,,,Saigon Outcast,jazz_venue,"Performance + jam session involvement",high,Medium,"Your weekly programming — Jameson Acoustic Jam, Nola Blues Nights, PALM Gypsy Jazz — makes Saigon Outcast feel like the right room for a visiting multi-instrumentalist to drop in and play.",Ho Chi Minh City,Vietnam,https://saigonoutcast.com,,"Multi-genre live music venue"
,,,La Fenetre Soleil,jazz_venue,"Performance + intimate workshop",medium,Low,"Your variety programming — jazz, pop, oldies, rock & roll — makes La Fenetre Soleil a flexible spot to visit, and I'd happily play whichever genre fits your room best.",Ho Chi Minh City,Vietnam,,,"Cafe + music lounge"
,,,Saigon Ranger,jazz_venue,"Performance — Saturday Blues or Sunday Jazz Night",medium,Low,"Your Saturday Blues + Sunday Jazz nights would be a natural fit for a visiting musician — happy to play either evening if a slot opens up.",Ho Chi Minh City,Vietnam,https://www.facebook.com/saigonranger,,"Recurring weekly genre nights"
,,,Yoko (Thi Bar),jazz_venue,"Performance",medium,Low,"Your live music programming Thursday through Saturday across multiple genres makes Yoko an easy fit for a visiting musician — happy to play whichever night and style works best.",Ho Chi Minh City,Vietnam,,,"Mixed Vietnamese + foreign performers"
,,,Consulate General of India HCMC (Cultural wing),DO_NOT_USE_INSTANTLY,"Hand-written email — Indian classical/contemporary music event",high,Highest,"HAND-WRITE THIS ONE. The Indian community in HCMC has historic roots (~30K at peak). Write a personal email to the cultural officer mentioning your Bangalore base and proposing a workshop or lec-dem during a Vietnam visit.",Ho Chi Minh City,Vietnam,https://www.cgihcmc.gov.in,,"Cultural officer contact via website"
,,,APU American International School Da Nang,international_school,"Guest artist masterclass; International Arts Week tie-in",high,High,"APU Da Nang's annual International Arts Week is exactly the kind of event a visiting Indian multi-instrumentalist could plug into — happy to design something around that or a standalone session.",Da Nang,Vietnam,https://apu.edu.vn,,"K-12 American program; Tran Dai Nghia Street"
,,,Singapore International School Da Nang (SIS),international_school,"Guest artist masterclass — adaptable to existing music curriculum",high,Medium,"Your Cambridge-based curriculum and continuous music programme from Pre-Nursery through A Level gives a visiting artist multiple potential touchpoints — I'd love to discuss what fits.",Da Nang,Vietnam,https://sis.edu.vn,,"Cambridge curriculum"
,,Michael,Osswald,Odyssey International School,international_school,"Guest artist masterclass; collaboration on a performing arts production",high,Medium,"Mr. Osswald — Odyssey's recent Homer's Odyssey production showed an ambitious performing-arts vision that I'd love to support during a visit. Happy to run a workshop or contribute to a production.",Da Nang,Vietnam,https://www.odyssey.edu.vn,,"IB candidate school between Da Nang and Hoi An; CEO is Michael Osswald"
,,,St. Nicholas School,international_school,"Guest artist masterclass — flexible format",high,Medium,"As an established American K-12 program in Central Da Nang, St. Nicholas seems like a natural stop on a visit — happy to design a session that fits your students' levels.",Da Nang,Vietnam,https://stnicholas.edu.vn,,"Elite K-12 American program"
,,,Hoi An International School (HAIS),international_school,"Guest artist masterclass — students from 40+ countries; multi-cultural framing",high,High,"With students from 40+ countries, a visiting Indian multi-instrumentalist might be able to offer something that ties into your school's diverse cultural backbone — I'd love to discuss what would work.",Hoi An,Vietnam,https://hais.edu.vn,,"Cambridge programme; diverse student body"
