cluster,city,state,country,institution_name,archetype,contact_name,contact_email,instagram_handle,phone,website,recommended_topic,priority,personalized_hook,format_recommendation,language_confidence,notes,send_via,verified
Singapore,Singapore,,Singapore,Blu Jaz Café,jazz_venue,,events@blujaz.com.sg,@blujazcafe,+65 6292 3800,https://www.blujaz.com.sg,Performance + improvisation workshop,Medium,"As one of Singapore's longest-standing live-jazz venues (since 2006) on Bali Lane, Blu Jaz is the right room for a visiting musician to play and run a short improvisation workshop.",Performance + 2-hour workshop,medium,Bali Lane. Verify events email via site/FB @blujazcafe.,INSTANTLY_OK,low
Dubai/UAE,Abu Dhabi,,UAE,Berklee Abu Dhabi Center,contemporary_academy,Gael Hedding Billiemaz (Director),info@berkleeabudhabi.ae,@berkleeabudhabi,+971 2 657 5920,https://www.berklee.edu/berklee-abu-dhabi,Modern Music Production / DAW + Riffs Method + Live Performance Coaching,Highest,"Berklee's first programmes in the Arab world move in the same network I do, and international visiting faculty is your core model — my multi-instrumental, home-recording and Riffs Method workshop is exactly what your students need. Director Gael Hedding Billiemaz is the right contact.",Week-long residency,high,Director: Gael Hedding Billiemaz. info@berkleeabudhabi.ae / +971 2 657 5920.,INSTANTLY_OK,high
Dubai/UAE,Dubai,,UAE,Centre for Musical Arts (CMA),contemporary_academy,Tala Badri (Founder & Executive Director),enquiries@cmadubai.com,@cmadubai,+971 4 341 8872,https://www.cmadubai.com,Multi-instrumental masterclass,High,"Founder Tala Badri — Dubai-born, Royal Holloway-trained — built CMA into one of the UAE's most respected academies with ABRSM pathways. A visiting-artist multi-instrumental masterclass would complement that structured pedagogy.",Full-day workshop,high,Founder/Exec Director Tala Badri. enquiries@cmadubai.com / +971 4 341 8872.,INSTANTLY_OK,high
Dubai/UAE,Dubai,,UAE,Melodica Music Academy,contemporary_academy,Afshin Jafari (Founder),info@melodica.ae,@melodicamusicacademy,+971 4 372 4097,https://melodica.ae,Multi-instrumental masterclass,Medium,"Founded in 2013 by singer Afshin Jafari and now 26+ branches with 10,000+ students, a single visiting-artist workshop could reach Melodica students across multiple Dubai locations in one trip.",Full-day workshop,high,Founder Afshin Jafari; ~26 branches. info@melodica.ae.,INSTANTLY_OK,medium
Dubai/UAE,Dubai,,UAE,Dubai Music School,contemporary_academy,,info@dubaimusicschool.com,,,https://www.dubaimusicschool.com,Piano Mastery + Improvisation,Medium,"As one of the UAE's oldest and most reputable music schools, your advanced students would benefit from a session on piano mastery and improvisation tools.",Half-day intensive,low,Verify email via site/contact form.,INSTANTLY_OK,low
Dubai/UAE,Dubai,,UAE,Symphony Music Learning Centre (Symphony MLC),contemporary_academy,,info@symphonymlc.com,@symphonymlc,,https://www.symphonymlc.com,Music Theory & Ear Training,Medium,"Your certification-focused teaching would pair well with a visiting-artist session linking theory to real performance.",Half-day intensive,low,Verify email via site.,INSTANTLY_OK,low
Dubai/UAE,Dubai,,UAE,Middle East Classical Music Academy,conservatory,,info@me-musicacademy.com,,,https://me-musicacademy.com,Music Theory & Ear Training (Indian-influenced),Medium,"A classical academy in the Gulf is a strong setting for cross-tradition ear-training delivered through an Indian multi-instrumentalist's lens.",Full-day workshop,low,Verify email via site.,INSTANTLY_OK,low
Dubai/UAE,Dubai,,UAE,National Youth Orchestra & Choir of Dubai (NYO),school_choir_social,Amira Fouad (Co-Founder & Executive Director),info@nyo.ae,@nyo.ae,,https://nyo.ae,Vocal Harmony + orchestral workshop,High,"HAND-WRITE. Amira Fouad — you founded NYO in 2018 with four students and in 2025 became the first UAE ensemble to play Carnegie Hall. A vocal-harmony and arrangement session for your singers and players would be a meaningful addition; I'd love to discuss it personally.",Full-day workshop,high,"Co-Founder/Exec Director Amira Fouad. Founded 2018; Carnegie Hall 2025. Hand-write.",DO_NOT_USE_INSTANTLY,high
Dubai/UAE,Dubai,,UAE,Nord Anglia International School Dubai (NAS),international_school,,nasdubai@nordanglia.com,@nasdubai,+971 4 219 2400,https://www.nordangliaeducation.com/nas-dubai,Multi-instrumental residency + Jazz Improvisation,Highest,"Best School for Music in the UAE — the only school giving every Year 4–6 student weekly orchestral tuition, a Juilliard performing-arts partner and Dubai Opera's education partner. NAS is built for a week-long visiting-artist residency.",Week-long residency,high,KHDA Outstanding; Juilliard + Dubai Opera partner. Route via school to Head of Music / NAS Music Academy.,INSTANTLY_OK,medium
Dubai/UAE,Dubai,,UAE,American School of Dubai,international_school,Adrienne Gerst-equivalent — see note,info@asdubai.org,@americanschoolofdubai,+971 4 395 0005,https://www.asdubai.org,Vocal Harmony + arrangement,High,"Your Chamber Choir's Best Choir wins at Short & Sweet Voices and performances at US Embassy events show real ambition — a vocal-harmony and arrangement workshop could push it further.",Full-day workshop,medium,Choir Director on staff (Adrienne Gerst noted at ASD historically); route via info@asdubai.org to choir/music.,INSTANTLY_OK,medium
Dubai/UAE,Dubai,,UAE,Dubai British School Jumeirah Park,international_school,,info@dubaibritishschool.ae,@dbsjp,+971 4 526 4900,https://www.dubaibritishschool.ae,Multi-instrumental masterclass,High,"Your outstanding music and performing-arts provision and the cross-department performances make DBS JP a natural fit for a multi-instrumental masterclass.",Full-day workshop,medium,Route via info@dubaibritishschool.ae to Head of Music.,INSTANTLY_OK,low
Dubai/UAE,Dubai,,UAE,Dubai College,international_school,,registrar@dubaicollege.org,@dubaicollege,+971 4 399 9111,https://www.dubaicollege.org,Multi-instrumental masterclass,Medium,"A leading British-curriculum school with an active music programme — a visiting-artist masterclass would fit your senior musicians well.",Half-day intensive,low,Route via registrar@dubaicollege.org.,INSTANTLY_OK,low
Dubai/UAE,Dubai,,UAE,GEMS World Academy Dubai,international_school,,registrar_gwa@gemsedu.com,@gemsworldacademy,+971 4 373 8888,https://www.gemsworldacademy-dubai.com,Guest artist masterclass,Medium,"Your IB arts programme and strong ensembles make GEMS World Academy a good stop for a visiting multi-instrumentalist's session.",Half-day intensive,low,Route via registrar to Head of Music.,INSTANTLY_OK,low
Dubai/UAE,Dubai,,UAE,Jass Lounge (DIFC),jazz_venue,,info@jasslounge.ae,@jassloungedifc,,https://jasslounge.ae,Performance + improvisation workshop,High,"As Dubai's first authentic jazz lounge with live music every night in DIFC Gate District 2, Jass Lounge is the right room for a visiting musician to play and run a short workshop.",Performance + 2-hour workshop,medium,DIFC Gate District 2. FB @jassloungedifc; verify email via site.,INSTANTLY_OK,medium
Dubai/UAE,Dubai,,UAE,Q's Bar and Lounge (Palazzo Versace),jazz_venue,,info@qsdubai.com,@qsdubai,+971 4 556 8888,https://www.qsdubai.com,Performance + workshop combo,Medium,"Your international-residency programming at Palazzo Versace makes Q's a flexible spot for a visiting musician to perform and offer a short workshop.",Performance,low,International residencies. Verify email via site.,INSTANTLY_OK,low
Dubai/UAE,Dubai,,UAE,St Mary's Catholic Church Dubai (music ministry),church_choir,Parish Office,office@saintmarysdubai.org,@saintmarysdubai,+971 4 337 0087,https://saintmarysdubai.org,Sacred music arrangement workshop,Medium,"HAND-WRITE. St Mary's on Oud Metha Road sustains active choirs across a large Catholic community — a sacred-music arrangement and vocal-harmony session would be a meaningful contribution. Reach via the parish music office.",Half-day intensive,high,"office@saintmarysdubai.org / +971 4 337 0087. Oud Metha Rd. Hand-write via parish office.",DO_NOT_USE_INSTANTLY,high
South Africa,Cape Town,Western Cape,South Africa,South African College of Music (University of Cape Town),conservatory,Prof. Jeremy Silver (Opera/senior staff),music@uct.ac.za,@uctmusic,+27 21 650 2626,https://humanities.uct.ac.za/college-music,Music Theory & Ear Training + Jazz Improvisation,Highest,"SACM is South Africa's leading music school — African and World Music, Jazz Studies, composition and opera under names like Prof. Jeremy Silver — the strongest cross-tradition room in the country for an Indian multi-instrumentalist's residency.",Week-long residency,high,Main +27 21 650 2626. Route via College of Music office (humanities.uct.ac.za/college-music/contact-us). FB @UCTmusic.,INSTANTLY_OK,high
South Africa,Johannesburg,Gauteng,South Africa,Wits School of Arts — Music Division,conservatory,Mfundo Nkosi (Dept Administrator),Mfundo.Nkosi@wits.ac.za,,+27 11 717 4663,https://www.wits.ac.za/wsoa/music,Jazz Improvisation & Performance,High,"Wits Music is central to Johannesburg's jazz scene — a visiting-artist session on improvisation and cross-tradition theory would resonate with your students. Departmental administrator Mfundo Nkosi is the route in.",Full-day workshop,high,Dept Admin Mfundo Nkosi, Mfundo.Nkosi@wits.ac.za, +27 11 717 4663. FB @WitsMusic.,INSTANTLY_OK,high
South Africa,Cape Town,Western Cape,South Africa,Campus of Performing Arts (COPA),contemporary_academy,,info@copasa.co.za,@copa_sa,+27 21 418 0953,https://www.copasa.co.za,Modern Music Production + Live Performance Coaching,High,"COPA's industry-led model — stage presence, music business, working-professional facilitators across Midrand, Pretoria, Cape Town and Durban — is exactly the room where my multi-instrumental and production workshop applies immediately.",Full-day workshop,high,"Cape Town +27 21 418 0953 / info@copasa.co.za; HQ Midrand. IG @copa_sa.",INSTANTLY_OK,high
South Africa,Cape Town,Western Cape,South Africa,The Rock School Cape Town,contemporary_academy,,info@therockschool.co.za,@therockschoolct,,https://www.therockschool.co.za,"Bass, Guitar & Multi-instrumental",Medium,"One of South Africa's best-performing arts academies since 2009 — a multi-instrumentalist's band-focused masterclass fits your performance ethos.",Half-day intensive,low,Verify email via site.,INSTANTLY_OK,low
South Africa,Cape Town,Western Cape,South Africa,Cape Music Institute (CMI),contemporary_academy,,info@capemusic.co.za,@capemusicinstitute,,https://www.capemusic.co.za,The Riffs Method — daily composition,Medium,"Your composition, production and performance courses since 1999 make the Riffs Method a natural daily-practice addition for your students.",Half-day intensive,low,Verify email via site.,INSTANTLY_OK,low
South Africa,Johannesburg,Gauteng,South Africa,ANUA School of Music & Performing Arts,contemporary_academy,,info@anua.co.za,@anuaschool,,https://www.anua.co.za,Multi-instrumental masterclass,Medium,"As a Trinity College London diploma centre, ANUA's structured pedagogy would benefit from a visiting-artist multi-instrumental masterclass tying performance to theory.",Full-day workshop,low,Trinity College London diploma centre. Verify email via site.,INSTANTLY_OK,low
South Africa,Winterton,KwaZulu-Natal,South Africa,Drakensberg Boys Choir School,school_choir_social,Vaughan van Zyl (Artistic Director) / Carin Louw (Head of Music),vvanzyl@dbchoir.com,@drakensbergboyschoir,,https://dbchoir.com,Vocal Harmony + arrangement residency,Highest,"HAND-WRITE. Artistic Director Vaughan van Zyl leads a world-famous choir with a rock, pop, jazz and folk repertoire and annual international tours — a residency on vocal harmony and arrangement would be a privilege to offer.",Week-long residency,high,"Artistic Director Vaughan van Zyl (vvanzyl@dbchoir.com); Head of Music Carin Louw (clouw@dbchoir.com); Exec Head Hendrik Bekker. Hand-write.",DO_NOT_USE_INSTANTLY,high
South Africa,Johannesburg,Gauteng,South Africa,St John's College Johannesburg,international_school,Ben Oosthuizen (Director of Music),info@stjohnscollege.co.za,@stjohnscollegejhb,+27 11 645 3000,https://www.stjohnscollege.co.za,Multi-instrumental masterclass + choir,High,"Director of Music Ben Oosthuizen runs a strong music and choral tradition — St John's is a natural stop for a multi-instrumental masterclass with a vocal-harmony module.",Full-day workshop,high,"Director of Music: Ben Oosthuizen. Route via info@stjohnscollege.co.za to Music Dept. FB @stjohnscollegeSA.",INSTANTLY_OK,high
South Africa,Hilton,KwaZulu-Natal,South Africa,Hilton College,international_school,,enquiries@hiltoncollege.com,@hiltoncollege,+27 33 383 0100,https://www.hiltoncollege.com,Multi-instrumental residency,High,"As one of South Africa's leading boys' boarding schools with a strong music programme, Hilton is well suited to a week-long visiting-artist residency.",Week-long residency,medium,Route via enquiries@hiltoncollege.com to Director of Music.,INSTANTLY_OK,medium
South Africa,Cape Town,Western Cape,South Africa,Bishops Diocesan College,international_school,Mark Mitchell (Director of Music),college@bishops.org.za,@bishopsdiocesancollege,+27 21 659 1000,https://www.bishops.org.za,Multi-instrumental masterclass,High,"Director of Music Mark Mitchell sustains Bishops' historic music and choral tradition — a multi-instrumental masterclass would be a meaningful fit for your students.",Full-day workshop,high,"Director of Music: Mark Mitchell. Route via college office. FB @DiocesanCollege.",INSTANTLY_OK,high
South Africa,Stellenbosch,Western Cape,South Africa,Stellenbosch University Konservatorium,conservatory,Konservatorium office,konservatorium@sun.ac.za,@sukonservatorium,+27 21 808 2358,https://www0.sun.ac.za/music,Music Theory & Ear Training (Indian-influenced),High,"As one of South Africa's leading conservatoriums, a cross-tradition ear-training and theory session from an Indian multi-instrumentalist would broaden your students' perspective.",Full-day workshop,high,"Concerts/office: concerts@sun.ac.za / +27 21 808 2358. IG @sukonservatorium.",INSTANTLY_OK,high
South Africa,Cape Town,Western Cape,South Africa,The Blue Room at Grub & Vine,jazz_venue,,info@theblueroomza.com,@theblueroomza,,https://theblueroomza.com,Performance + improvisation workshop,Medium,"As a leading Bree Street live-music lounge rooted in jazz and blues with nightly performances, The Blue Room is the right room for a visiting musician to play and run a short workshop.",Performance + 2-hour workshop,medium,Bree St Cape Town. Verify email via site/IG @theblueroomza.,INSTANTLY_OK,low
South Africa,Johannesburg,Gauteng,South Africa,The Marabi Club,jazz_venue,,reservations@themarabiclub.com,@themarabiclub,,https://www.themarabiclub.com,Performance + jam session,Medium,"Your Maboneng jazz room is a natural stop for a visiting multi-instrumentalist — happy to perform and offer a short improvisation workshop.",Performance,low,Maboneng precinct. Verify email via site.,INSTANTLY_OK,low
South Africa,Johannesburg,Gauteng,South Africa,Field Band Foundation,school_choir_social,Foundation Office,info@fieldband.org.za,@fieldband_sa,+27 11 234 9040,https://www.fieldband.org.za,Multi-instrumental + Live Performance Coaching,High,"HAND-WRITE. Your youth-development brass and marimba bands across South Africa do exactly the kind of community music work I love — a multi-instrumental and performance-coaching session would be a meaningful contribution.",Full-day workshop,high,"info@fieldband.org.za / +27 11 234 9040, Edenburg Johannesburg. IG @fieldband_sa. Hand-write.",DO_NOT_USE_INSTANTLY,high
Thailand,Bangkok,,Thailand,College of Music Mahidol University,conservatory,Dean (deanms@mahidol.ac.th) / Assoc. Prof. Dr Joseph Bowman (Intl Affairs),deanms@mahidol.ac.th,@mahidolmusic,+66 2 800 2525,https://www.music.mahidol.ac.th,Music Theory & Ear Training + Piano Mastery + Improvisation,Highest,"Southeast Asia's leading music college, teaching mostly in English with a world-class visiting-artist tradition — the Dean's office and Assoc. Prof. Dr Joseph Bowman (International Affairs) are exactly who a cross-tradition residency should reach.",Week-long residency,high,"Dean: deanms@mahidol.ac.th; general prmusic@mahidol.ac.th; +66 2 800 2525. Salaya Campus, Nakhon Pathom.",INSTANTLY_OK,high
Thailand,Bangkok,,Thailand,Conservatory of Music Rangsit University,conservatory,,music@rsu.ac.th,@rangsituniversity,+66 2 997 2200,https://www.rsu.ac.th,Multi-instrumental masterclass,High,"Thailand's third music conservatory has the structured programmes a visiting-artist multi-instrumental masterclass complements well.",Full-day workshop,medium,Route via music@rsu.ac.th / university switchboard.,INSTANTLY_OK,low
Thailand,Bangkok,,Thailand,Chulalongkorn University Faculty of Fine & Applied Arts (Music),conservatory,,music@chula.ac.th,@chulalongkornuniversity,+66 2 218 4582,https://www.chula.ac.th,Music Theory & Ear Training (Indian-influenced),High,"Thailand's most prestigious university music department would gain a genuinely new perspective from a cross-tradition theory and ear-training session.",Full-day workshop,medium,Route via Faculty of Fine & Applied Arts music dept.,INSTANTLY_OK,low
Thailand,Bangkok,,Thailand,Princess Galyani Vadhana Institute of Music (PGVIM),conservatory,Dr Komsun Dilokkuanant (Dean, School of Music),info@pgvim.ac.th,@pgvim_music,+66 2 447 8597,https://www.pgvim.ac.th/en,Music Theory & Ear Training,High,"PGVIM's mission of international musical dialogue aligns naturally with a visiting Indian multi-instrumentalist's cross-tradition session — Dean of the School of Music Dr Komsun Dilokkuanant is the contact.",Full-day workshop,high,"President Asst Prof Choowit Yurayong; Dean School of Music Dr Komsun Dilokkuanant. info@pgvim.ac.th. IG @pgvim_music / FB @PGVIMusic.",INSTANTLY_OK,high
Thailand,Chiang Mai,,Thailand,Duriyasilp College of Music — Payap University,conservatory,College of Music Office,info_english@payap.ac.th,@music.pyu,+66 53 851 478,https://music.payap.ac.th,Sacred Music arrangement + Vocal Harmony,High,"Founded by the Church of Christ in Thailand, Payap's Duriyasilp College of Music and its choral tradition make a vocal-harmony and sacred-music arrangement session a strong fit.",Full-day workshop,high,"Phone +66 53 851478 ext 6102; Intl info_english@payap.ac.th. Kaewnawarat Campus, Chiang Mai. FB @music.pyu.",INSTANTLY_OK,high
Thailand,Bangkok,,Thailand,International School Bangkok (ISB),international_school,Panther Music Dept,admissions@isb.ac.th,@isbangkok,+66 2 963 5800,https://www.isb.ac.th,Multi-instrumental residency + Jazz Improvisation,Highest,"Thailand's premier international school since 1951 — the Panther Music programme and ensembles make ISB a natural setting for a week-long visiting-artist residency including jazz for senior students.",Week-long residency,high,Route via admissions@isb.ac.th to Panther Music / Head of Music.,INSTANTLY_OK,medium
Thailand,Bangkok,,Thailand,NIST International School,international_school,,admissions@nist.ac.th,@nistschool,+66 2 017 5888,https://www.nist.ac.th,Guest artist masterclass,High,"NIST's IB arts programme and active ensembles would translate a visiting-artist workshop straight into performable results.",Full-day workshop,medium,Route via admissions@nist.ac.th to Head of Music.,INSTANTLY_OK,low
Thailand,Chiang Mai,,Thailand,Chiang Mai International School (CMIS),international_school,,admissions@cmis.ac.th,@cmischiangmai,+66 53 306 222,https://www.cmis.ac.th,Multi-instrumental masterclass,Medium,"Founded 1954 with an American curriculum and international perspective, CMIS is a natural Chiang Mai stop for a multi-instrumental masterclass.",Half-day intensive,medium,Est. 1954. Route via admissions@cmis.ac.th.,INSTANTLY_OK,low
Thailand,Chiang Mai,,Thailand,Prem Tinsulanonda International School,international_school,,admissions@premcenter.org,@premschool,+66 53 301 500,https://www.premcenter.org,Multi-instrumental masterclass,Medium,"Prem's IB campus and arts focus make a visiting multi-instrumentalist's masterclass a good fit for your Chiang Mai students.",Half-day intensive,low,IB boarding near Chiang Mai. Route via admissions@premcenter.org.,INSTANTLY_OK,low
Thailand,Bangkok,,Thailand,Saxophone Pub,jazz_venue,,saxophonepub@gmail.com,@saxophonepub,+66 2 246 5472,http://www.saxophonepub.com,Performance + improvisation workshop,High,"As one of Bangkok's oldest and most-loved jazz clubs since 1987 at 3/8 Phayathai Road, Saxophone Pub is the right room for a visiting musician to play and run a workshop alongside.",Performance + 2-hour workshop,high,"3/8 Phayathai Rd, Ratchathewi; +66 2 246 5472. IG @saxophonepub. Verify email via site/IG.",INSTANTLY_OK,high
Thailand,Bangkok,,Thailand,Brown Sugar,jazz_venue,,brownsugarbangkok@gmail.com,@brownsugarbangkok,+66 89 499 1378,https://www.brownsugarbangkok.com,Performance + workshop combo,Medium,"A jazz and blues haven since 1985 hosting local and international acts — happy to perform and offer a short improvisation workshop.",Performance,medium,Verify email via site/IG @brownsugarbangkok.,INSTANTLY_OK,low
Thailand,Bangkok,,Thailand,The Bamboo Bar (Mandarin Oriental),jazz_venue,,mobkk-reservations@mohg.com,@mo_bangkok,+66 2 659 9000,https://www.mandarinoriental.com/bangkok,Performance,Medium,"Your colonial-style jazz room with nightly live music is a flexible spot for a visiting musician — happy to play whichever set fits your programming.",Performance,medium,Historic hotel jazz bar; route via Mandarin Oriental Bangkok.,INSTANTLY_OK,low
Thailand,Chiang Mai,,Thailand,Church of Christ in Thailand choirs (Chiang Mai),church_choir,via Payap / CCT music office,info_english@payap.ac.th,,+66 53 851 478,https://music.payap.ac.th,Sacred music arrangement workshop,Medium,"HAND-WRITE. The Church of Christ in Thailand sustains active choirs around Chiang Mai — a sacred-music arrangement and vocal-harmony session would be a meaningful contribution. Reach via the Payap / CCT music office.",Half-day intensive,medium,Hand-write via Payap Duriyasilp / CCT music office.,DO_NOT_USE_INSTANTLY,medium
Zimbabwe+Namibia,Harare,,Zimbabwe,Zimbabwe College of Music,conservatory,Rachel Chigwanda (Executive Director),registry@zcm.co.zw,,+263 242 749076,https://zcm.co.zw,Music Theory & Ear Training (Indian-influenced) + Riffs Method,Highest,"Founded 1948 with a multicultural philosophy spanning Western classical, Zimbabwean traditional and a BMus in Jazz and Ethnomusicology — Executive Director Rachel Chigwanda leads exactly the institution where an Indian multi-instrumentalist's cross-tradition residency would resonate.",Week-long residency,high,"Exec Director Rachel Chigwanda. registry@zcm.co.zw / +263 242 749076/7. C3 Civic Centre, Rotten Row, Harare. FB @www.zcm.co.zw.",INSTANTLY_OK,high
Zimbabwe+Namibia,Harare,,Zimbabwe,Music Crossroads Academy Zimbabwe,contemporary_academy,Academy Office,mczimbabwe@music-crossroads.net,@musiccrossroadszimbabwe,+263 776 179455,https://www.music-crossroads.net,The Riffs Method + Live Performance Coaching,High,"Your development-oriented professional music certificate programmes make the Riffs Method and live-performance coaching a directly applicable addition for your students.",Full-day workshop,high,"mczimbabwe@music-crossroads.net / +263 776 179 455. 48 Selous Avenue, Harare. FB @MCZimbabwe.Trust.",INSTANTLY_OK,high
