id,cluster,priority,archetype,name,city,state,contact_person,email,phone,instagram,facebook,website,recommended_topic,personalized_hook,verified,notes
sumi-baptist,Northeast,high,hw,Sumi Baptist Church Kohima (Choir),Kohima,Nagaland,,Sbckohima@gmail.com,+91 370 796 5800,@sumi_baptist_church_kohima,https://www.facebook.com/p/Sümi-Baptist-Church-Kohima-61577216873994,,Vocal harmony / arrangement clinic,Your Youth and Adult choirs have a strong reputation — and 2025 is your centenary year,high,Hand-written. Founded 1925 — centenary 2025 is the hook. Music Director connection via church office.
mizocardinal,Northeast,highest,anchor,Mizo Cardinal Choir,Aizawl,Mizoram,C. Zodingliana (Citea — Founder) / Steven Lalsangliana Ralte (Conductor),,,@mizocardinalchoir,https://www.facebook.com/mizocardinalchoir,,Vocal Harmony + arrangement + recording,Silver at World Choir Games Tshwane 2017 — the way you've carved a niche between gospel contemporary and Baroque is extraordinary,high,ANCHOR — Facebook DM primary. Instagram backup. Founded 2012. Very active on Facebook (4616 followers).
besy,Northeast,highest,hw,BESY Choir (Bible Society Mizoram),Aizawl,Mizoram,Rev. Remlalfaka (Auxiliary Secretary BSI Aizawl),bsiaiz@biblesociety.in,+91 389 2323210,,https://www.facebook.com/besy.choir,,Sacred music arrangement workshop,'He Hideth My Soul' has reached over 4 million YouTube views — extraordinary reach for a sacred music ensemble,high,Hand-written. Bible Society of India Aizawl Auxiliary. Synod Conference Centre Mission Veng Aizawl. YouTube @OfficialBESYChoir.
miz-univ,Northeast,high,std,Mizoram University Department of Music,Aizawl,Mizoram,,registrar@mzu.edu.in,0389-2330654,@mizoramuniversity,https://www.facebook.com/mizoramuniversity,https://mzu.edu.in,Music Theory & Ear Training,As Mizoram's largest formal music education institution,medium,No standalone Music dept confirmed — ask PR cell prcell@mzu.edu.in. VC: vc@mzu.edu.in.
synod-mizo,Northeast,high,hw,Synod Choir / Presbyterian Church of Mizoram,Aizawl,Mizoram,Rev. Dr. C. Chawnghmingliana (Moderator),mizoramsynod@gmail.com,+91 389 2326372,@synodinformation,,https://www.mizoramsynod.org,Choir clinic + arrangement,The Presbyterian Church of Mizoram runs the most influential choral program in the state — uploading new YouTube tracks this week,high,Hand-written. Email confirmed. Alt: mzsynfo@gmail.com / synfo@mizoramsynod.org. IG @synodinformation 4019 followers. Posting new YouTube music videos THIS WEEK (May 2026).
manipur-univ,Northeast,medium,std,Manipur University Music & Dance Dept,Imphal,Manipur,Dr. M. Thoiba Singh (Head i/c),hod.dnm@manipuruniv.ac.in,+91 385 2435276,,,https://www.manipuruniv.ac.in,Music Theory & Ear Training,Your formal music department is a rare degree-granting institution in the Northeast,high,ALSO consider Manipur University of Culture (MUC): mucimphal@gmail.com — may be better fit. Near Bhagyachandra Open Air Theatre Palace Compound Imphal East.
tashi-namgyal,Northeast,high,std,Tashi Namgyal Academy,Gangtok,Sikkim,Bri. Mothi George Jacob (Director & Principal),tna.admin@tashinamgyalacademy.com,+91 3592 209104,,https://facebook.com/tnasikkim,https://www.tashinamgyalacademy.com,Multi-instrumental masterclass + Vocal Harmony,I've taught at schools across Darjeeling and at Gandhi Ashram in Kalimpong — TNA would be a natural addition,high,Official domain email (better than personal gmail). Alt: tnadirector@tashinamgyalacademy.com / tashinamgyalacademy1926@gmail.com. Co-ed CISCE est. 1926 ~2000 students.
png-gangtok,Northeast,medium,std,Paljor Namgyal Girls' School,Gangtok,Sikkim,Jem Pandi N Targain (Principal),office@pngschool.in,+91 3592 202528,,https://facebook.com/p/Paljor-Namgyal-Girls-School-61554166478083,https://pngschool.edu.in,Vocal Harmony + arrangement for girls' choir,PNG celebrated its centenary in 2024 — a milestone school for Sikkim,high,Alt: pngssschool@gmail.com. CBSE girls school est. 1924.
sikkim-univ,Northeast,medium,std,Sikkim University Department of Music,Gangtok,Sikkim,HOD Department of Music,music@cus.ac.in,+91 3592 231060,,,https://cus.ac.in,Music Theory & Ear Training,Sikkim University as a Central University with formal music programs — BPA and MPA in Music,high,Gen contact: info@cus.ac.in. Registrar: registrar@cus.ac.in. 5th Mile Tadong Gangtok 737102.
stjoseph-gangtok,Northeast,medium,std,St. Joseph's School Gangtok,Gangtok,Sikkim,Sr. Leena Erica Lepcha (Principal),,+91 3592 253064,,,,"Multi-instrumental masterclass","Catholic-tradition school in Gangtok — given my prior teaching across Darjeeling and Kalimpong",low,IMPORTANT: School is at Singtam/Martam 30km from Gangtok. No public email. Try stjosephsmartam@gmail.com (unverified).
stpauls-darj,Northeast,highest,std,St. Paul's School Darjeeling,Darjeeling,West Bengal,Rector's Office,info@stpaulsdarjeeling.edu.in,+91 354 2252334,@stpaulsdarjeeling,,https://stpaulsdarjeeling.edu.in,Multi-instrumental residency + Vocal Harmony,I've taught at several schools across Darjeeling over the years — St. Paul's would be a wonderful return,high,Official domain email. Alt: rector.spsdarj@gmail.com. Founded 1823 CNI-run. Times School Ranking 2025: No.1 in Darjeeling West Bengal and Eastern India. IG 3229 followers.
northpoint,Northeast,highest,std,St. Joseph's School North Point,Darjeeling,West Bengal,Rev. Fr. Adv. Stanley Varghese SJ (Rector & Principal),rector@sjcnorthpoint.com,+91 74074 01112,,,https://sjcnorthpoint.com,Multi-instrumental masterclass + Sacred Music,I've taught at schools across Darjeeling — North Point's Catholic choir tradition would be a great fit,high,Official rector domain email. Alt: sjsnorthpoint@gmail.com. Jesuit-run boys boarding Singamari Darjeeling 734104.
mthermon,Northeast,high,std,Mt. Hermon School Darjeeling,Darjeeling,West Bengal,,mhsdarj@gmail.com,+91 354 4069776,,https://www.facebook.com/MountHermonSchool,https://mhsdarj1895.org,Multi-instrumental masterclass,I've taught at schools across Darjeeling — Mt. Hermon is one I'd love to revisit,medium,Singamari North Point Darjeeling 734104. Co-ed boarding est. 1895. Trinity College London exams.
loreto-darj,Northeast,high,std,Loreto Convent Darjeeling,Darjeeling,West Bengal,Sr. A. Anitha (Principal),loretoconventdarj@gmail.com,0354-2255739,,,https://www.loretodarjeeling.org,Vocal Harmony + arrangement for girls' choir,I've taught at Catholic schools across Darjeeling and Loreto's choir tradition is a natural fit,high,Convent Road Darjeeling 734101. All-girls Catholic school est. 1846.
goethals,Northeast,medium,std,Goethals Memorial School Kurseong,Kurseong,West Bengal,Principal,goethalsmemorial@gmail.com,+91 9932552567,,https://www.facebook.com/goethalschool,https://gms.edu.in,Multi-instrumental masterclass,I've taught at schools across the Darjeeling region — Goethals' Salesian tradition would be meaningful,high,Alt: principalgoethals@gmail.com / goethalsboarding@gmail.com. Kurseong Darjeeling WB 734203.
crossroads,Kerala,highest,std,Crossroads School of Music,Kochi,Kerala,Alphons Joseph (Managing Director),events@alphonsjoseph.com,+91 9895924108,,,https://crsm.in,Multi-instrumental masterclass + Riffs Method residency,Toured with A.R. Rahman on the Jai Ho World Tour — your Berklee-adjacent faculty makes Crossroads one of the most ambitious academies in South India,high,Peer-to-peer email. YouTube active. Pro Tools certified faculty. Running music production 6-month evening courses 2025.
thevibe,Kerala,high,std,The Vibe Music Conservatory,Kochi,Kerala,,, +91 95442 61393,,,http://www.thevibemusic.org,Modern Music Production + Mixing/Mastering,Your faculty including John & Nithin from Motherjane gives The Vibe a rock-band lineage rare in formal academies,high,Phone confirmed. No email found publicly.
jam-music,Kerala,high,std,Jam Music Conservatory,Kochi,Kerala,Mr. Mathew P. Joy (Director),,,,https://www.facebook.com/jammusicconservatory,https://jamconservatory.in,Multi-instrumental masterclass,As an official LCME exam centre Jam has built structured pedagogy,medium,LCME exam centre. No public email. Try info@jamconservatory.in (unverified). Palarivattom Kochi.
donbosco-kochi,Kerala,high,std,Don Bosco Academy of Music & Fine Arts,Kochi,Kerala,,,+91 87529 23456,,,https://dbacademy.in,Multi-instrumental masterclass + Vocal Harmony,As the Music & Fine Arts wing of Don Bosco Cultural Centre Kochi you serve a wide spectrum of students,high,Phone confirmed.
jerson,Kerala,medium,std,Jerson Antony's School of Music,Kochi,Kerala,,,+91 89431 97040,,,,"Piano Mastery + Improvisation","Your boutique academy in Panampilly Nagar has a strong reputation for piano teaching",high,Phone confirmed. No email/website found.
rlv,Kerala,high,std,RLV College of Music & Fine Arts,Kochi,Kerala,Prof. C. J. Suseela (Principal),rlvcollegetripunithura@gmail.com,+91 484 2779757,,,https://rlvcollege.ac.in,Music Theory & Ear Training (Indian-influenced lens),Known as the 'Shantiniketan of South India' founded 1936 by King Kerala Varma of Cochin — alumni include K.J. Yesudas,high,Email confirmed (Kerala Collegiate Education listing). Alt: rlvprincipal@gmail.com. Thrippunithura Ernakulam.
sangeetha-bhaarathi,Kerala,medium,std,Sangeetha Bhaarathi Music Academy,Kochi,Kerala,,sangeethabharathi666@gmail.com,+91 9947174999,@sangeethabhaarathionline,https://facebook.com/sangeethabhaarathimusicacademy,https://sangeethabhaarathi.com,Vocal Harmony for Carnatic-trained singers,Your Carnatic specialization since 2010 has built a strong vocal foundation — Western harmony could open new dimensions,high,Small private academy. IG active. Thrippunithura Kochi.
cochinwaves,Kerala,medium,std,Cochin Waves Orchestra,Kochi,Kerala,Mr. K.S. Mammootty / Mohammed Kunju (Founder),,+91 9846002757,,https://facebook.com/CochinWaves,https://www.cochinwaves.com,Performance + workshop combo,As an active orchestra and cultural arts academy in Kochi,high,Est. 1991. Phone confirmed. No email found — use website contact form.
swathi-thirunal,Kerala,highest,std,Swathi Thirunal Govt Music College,Trivandrum,Kerala,Prof. Veena V. R. (Principal),sstgmc@gmail.com,+91 471 2323027,,https://www.facebook.com/swathithirunalcollegeofmusic,https://sstcmtvpm.ac.in,Music Theory & Ear Training residency,Premier Carnatic institution in Kerala — a cross-tradition visiting musician would offer your students a genuinely new perspective,high,Alt: sstmusiccollege@gmail.com. Thycaud Trivandrum 695014. Founded 1939.
gcwt,Kerala,high,std,Govt College for Women Trivandrum (Music Dept),Trivandrum,Kerala,Smt. Dhanalekshmi C (Music HOD — DIRECT CONTACT),dhanu.dhana82@gmail.com,+91 94965 79742,,,https://gcwtvm.ac.in,Music Theory & Ear Training + Vocal Harmony,Kerala's oldest women's college (est. 1864) — your music dept founded 1929 is the first MA Music program in Kerala,high,DIRECT MUSIC HOD email and phone. College: gcwtvpm@gmail.com / +91 471 2324986.
trinity-lyceum,Kerala,medium,std,Trinity College London Rep Trivandrum,Trivandrum,Kerala,Fr. Sentic Sam (Trinity College London South India rep),senticsam@gmail.com,+91 98471 24544,,,,Multi-instrumental masterclass,Your role as Trinity College London South India representative makes you a gateway to the entire Trinity exam network in Trivandrum,high,MYSTERY SOLVED: This is the Trinity College London South India rep in Nalanchira Trivandrum — gateway to all Trinity exam hubs in the city.
marivanios,Kerala,medium,std,Mar Ivanios College,Trivandrum,Kerala,Dr. Meera George (Principal),info@mic.ac.in,+91 471 2531053,@marivanioscollege49,https://facebook.com/marivaniosautonomous,https://marivanioscollege.com,Vocal Harmony + theatre music workshop,Your strong cultural arts tradition and large auditorium make Mar Ivanios a natural stop,medium,NOTE: No dedicated music department — address to Cultural Coordinator or Music Club. Alt: principal@mic.ac.in.
calicut-univ,Kerala,medium,std,Calicut University (via affiliated colleges),Kozhikode,Kerala,Dean Faculty of Humanities,vcoffice@uoc.ac.in,+91 494 2660600,,,https://uoc.ac.in,Music Theory & Ear Training,IMPORTANT: No standalone music dept. Better alternatives: Zamorin's Guruvayurappan College Kozhikode or Kerala Sangeetha Nataka Akademi Thrissur,low,Recommend Jason clarify intended target. Main university has no campus music dept.
kerala-cathedral-choirs,Kerala,high,hw,Kerala Cathedral Choirs (multi-denomination),Multi-city,Kerala,,,,,,,Sacred music arrangement workshop circuit,Approach via Mar Thoma HQ Tiruvalla / Catholic Archdiocese Trivandrum / CSI Madhya Kerala Diocese Kottayam / Malankara Orthodox Kottayam,low,Hand-written. Reach via: Mar Thoma +91 469 2630249 / CSI MKD csimkd.com / BSI Kerala bsiker@biblesociety.in.
kala-academy,Goa+Mgr,highest,anchor,Kala Academy Goa - Department of Western Music,Panjim,Goa,Fr. Romeo Monteiro (Director),kalaacademygoa@yahoo.co.in,0832-2420450,,,,Riffs Method + Modern Production residency,India's first formal Western music institution (1952) — the Symphony Orchestra revival under Fr. Monteiro is extraordinary,high,ANCHOR — hand-write. Herald Goa covered 2025 Annual Day: 385 students enrolled this year. IG @kala_academy_goa_ 1551 followers.
rachol,Goa+Mgr,highest,hw,Rachol Seminary / Santa Cecilia Choir,Old Goa,Goa,Rev. Dr. Donato Rodrigues (Rector) / Fr. Mathew Rebello (Choir Conductor),rector_goa@rediffmail.com,+91 78882 87051,,,https://racholseminarygoa.org,Sacred music arrangement workshop,Asia's oldest polyphonic male choir (founded 1897) — your 88-singer + 51-musician concerts show extraordinary scale,high,Hand-written. Alt: racholseminary@gmail.com / +91 72193 03716.
stuti,Goa+Mgr,high,hw,Stuti Choral & String Ensemble,Porvorim,Goa,Parvesh Java (Conductor) / Fr. Dr. Eufemiano Miranda (Founder),,,,,https://stutigoa.org,Vocal Harmony + recording techniques,Founded by Fr. Miranda to revive Goa's choral tradition — your 120-member ensemble and Handel's Messiah performance showed serious ambition,medium,Hand-written. No public email. Search Instagram @stutichoralensemble. Alt: contact via St. Inez Church Panjim.
pilar-music,Goa+Mgr,high,std,Pilar Music Academy,Pilar,Goa,Fr. Myron Siqueira SFX (Director),,,,@pilarmusic_academy23,,Multi-instrumental masterclass,Your Nightingale of Goa initiative to preserve Konkani vocal music is exactly the kind of mission I'd love to support,medium,4 branches 45 teachers 900+ students. No public email. Use website form pilarmusicacademy.in. IG active 282 followers.
vakhannnni,Goa+Mgr,high,hw,Vakhann'nni St. Joaquim's Choir,Margao,Goa,Fr. Simon Mathew D'Cunha (Conductor/Mentor),,,,,,"Sacred music arrangement workshop","Your 250-member choir-orchestra concerts including the felicitation of Auxiliary Bishop show extraordinary scale",medium,Hand-written. Fr. D'Cunha is President Diocesan Commission for Sacred Music Archdiocese of Goa. Best route: via Fr. Romeo Monteiro or archgoadaman@gmail.com.
goa-symphony,Goa+Mgr,medium,std,Goa Symphony Orchestra,Panjim,Goa,Fr. Romeo Monteiro (Director),kalaacademygoa@yahoo.co.in,+91 832 2420450,,,,Performance + workshop combo,As one of India's only large symphony orchestras outside Mumbai — same contact as Kala Academy,high,Same contact as kala-academy row. Symphony revived 2018 under Fr. Monteiro.
donbosco-pilar,Goa+Mgr,medium,std,Don Bosco College Panjim,Panjim,Goa,,collegeoffice@donboscogoa.ac.in,+91 832 2421929,,,https://donboscogoa.ac.in,Multi-instrumental masterclass,Salesian institution with strong cultural/music programs — active student choir and band,medium,M.G. Road Panjim Goa 403001. Admin ext 254.
mangalore-diocese,Goa+Mgr,highest,hw,Diocese of Mangalore (parish choir circuit),Mangalore,Karnataka,Most Rev. Dr. Peter Paul Saldanha (Bishop),bp.mangalorediocese@gmail.com,+91 824 2440421,,https://www.facebook.com/dioceseofmangalore,https://dioceseofmangalore.com,Sacred music + arrangement workshop circuit,Mangalore Diocese has dozens of active parish choirs — a 3-4 day multi-parish workshop circuit could serve a large network in one visit,high,Hand-written. VG: vg.mangalorediocese@gmail.com / +91 824 2440524. Mangala Jyothi: +91 824 2215747.
staloysius-mangalore,Goa+Mgr,highest,std,St. Aloysius College Mangalore,Mangalore,Karnataka,Principal,principal@staloysius.edu.in,+91 824 4117701,,https://www.facebook.com/staloysiuscollegemangaluru,https://staloysius.edu.in,Multi-instrumental masterclass + theatre music,Famous for arts and humanities and the Catholic heritage of Mangalore — now a Deemed University,high,Official domain email confirmed. Alt: aloysius.principal@gmail.com / principal_sac@yahoo.com. Jesuit-run.
stagnes-mangalore,Goa+Mgr,high,std,St. Agnes College Mangalore,Mangalore,Karnataka,Principal,principal@stagnescollege.edu.in,+91 824 2218414,,,https://www.stagnescollege.edu.in,Vocal Harmony + arrangement,Oldest Catholic women's college in South India (est. 1921) — strong music tradition,high,Bendore Mangaluru 575002. Apostolic Carmel sisters.
mahe-manipal,Goa+Mgr,high,std,MAHE / Manipal Institute of Communication,Manipal,Karnataka,Director Student Affairs,dsa.mahe@manipal.edu,+91 820 2922035,,,https://manipal.edu,Multi-instrumental masterclass + Modern Music Production,Massive multi-disciplinary campus with active cultural events — student Music Society under DSA,low,NOTE: No formal music dept. Has student Music Society club. Also PR: dpr.mu@manipal.edu. Confirm fit before targeting.
mangalore-konkani-ministers,Goa+Mgr,high,hw,Mangalorean Catholic music ministers (parish-level),Mangalore,Karnataka,,bp.mangalorediocese@gmail.com,+91 824 2440524,,,,Choir clinic,Connect via Diocese Mangala Jyothi then reach Rosario Cathedral / Milagres Cathedral / Carmel Hill / St. Sebastian Bendur,medium,Hand-written. Same Diocese entry point as mangalore-diocese. Mangala Jyothi: +91 824 2215747.
revelations-mangalore,Goa+Mgr,high,std,Revelations Choir Mangalore,Mangalore,Karnataka,,,+91 95388 39777,,,https://www.revelationschoir.com,Vocal Harmony + arrangement,One of Mangalore's most active performance choirs — your vocal harmony and arrangement background is exactly what a performing choir can use,medium,NEW LEAD from Codex research. Active booking choir. Phone confirmed from website.
woodstock,Hills,highest,anchor,Woodstock School,Mussoorie,Uttarakhand,Amitavo Roy (Music HOD),communications@woodstock.ac.in,+91 135 617 0500,@woodstockschool,,https://www.woodstockschool.in,Multi-instrumental residency + jazz improvisation,India's most music-equipped boarding school — dedicated music block studios ensemble rooms jazz band concert band,high,ANCHOR — hand-write. Try amitavo.roy@woodstock.ac.in direct first. 31K IG followers — very active. 500 students from 35 nationalities.
tibetan-homes,Hills,medium,std,Tibetan Homes Foundation School,Mussoorie,Uttarakhand,General Secretary,registration@tibhomes.org,+91 135 2632625,,https://facebook.com/TibetanHomesFoundation,https://www.tibhomes.org,Multi-instrumental masterclass,Your mission in preserving Tibetan music and performing arts tradition is remarkable — I'd love to contribute,high,Happy Valley Mussoorie 248179. Founded 1962 by HH 14th Dalai Lama. YouTube @THF2012.
wynberg,Hills,medium,std,Wynberg Allen School,Mussoorie,Uttarakhand,Mr. L. M. Tindale (Principal),principal@wynbergallen.com,+91 135 6170010,,,https://www.wynbergallen.com,Multi-instrumental masterclass,Your established Christian boarding tradition includes active music programs,high,Landour Mussoorie 248179. Co-ed ~700 students est. 1888. Alt: pradipt.radcliffe@wynbergallen.com.
stgeorge-mussoorie,Hills,medium,std,St. George's College Mussoorie,Mussoorie,Uttarakhand,Brother Jeyaseelan S. (Principal),principal@sgconline.ac.in,+91 7060311770,@st.georgescollegeofficial,https://facebook.com/StGeorgesCollegeOfficial,https://sgconline.ac.in,Multi-instrumental masterclass,Music & Dance Studio on campus — I'd love to put it to use during a visit,high,Barlowganj Mussoorie 248122. All-boys boarding est. 1853 Patrician Brothers. YouTube @StGeorgesCollegeMussoorie. IG active.
hampton-court,Hills,low,std,CJM Hampton Court,Mussoorie,Uttarakhand,Principal,info@cjmhamptoncourt.org,,@hampton_court1922,https://facebook.com/p/CJM-Hampton-CourtMussoorie-100054388305850,https://cjmhamptoncourt.org,Vocal Harmony + Music Theory,Established girls boarding school in Mussoorie since 1922,high,Jhula Ghar The Mall Road Mussoorie. CISCE est. 1922 Convent of Jesus and Mary. IG active.
doon,Hills,highest,std,The Doon School,Dehradun,Uttarakhand,Dr. Jagpreet Singh (Headmaster) — Music school on campus,info@doonschool.com,+91 135 2526400,@thedoonschoolofficial,,https://www.doonschool.com,Multi-instrumental residency + jazz improvisation,India's most prominent boys boarding school celebrating DS90 (90th anniversary) — dedicated Music School on campus,high,IG 19K followers very active. Founded 1935. Reference DS90 anniversary in email.
welham-boys,Hills,high,std,Welham Boys' School,Dehradun,Uttarakhand,Sangeeta Kain (Head),welham1937@welhamboys.org,+91 8979544955,@welhamboysschool,,https://www.welhamboys.org,Multi-instrumental masterclass,Doon's traditional feeder school with a powerhouse music tradition of its own,high,IG 7141 followers active. 5 Circular Road Dalanwala Dehradun 248001. Founded 1937.
welham-girls,Hills,highest,std,Welham Girls' School,Dehradun,Uttarakhand,,mainschool@welhamgirls.com,+91 135 6670100,@welhamgirls,,https://www.welhamgirls.com,Vocal Harmony + arrangement workshop,One of India's top girls boarding schools — alumni include Indira Gandhi and Kareena Kapoor Khan — strong arts emphasis,high,IG 10K followers active. 19 Municipal Road Dalanwala Dehradun 248001. Est. 1957. Alt phone: +91 135 2654754.
asian-school,Hills,medium,std,The Asian School Dehradun,Dehradun,Uttarakhand,Principal,theasianschool@gmail.com,+91 135 2761859,,,https://www.theasianschool.net,Multi-instrumental masterclass,Modern boarding school with a contemporary edge to their music program,medium,Kaulagarh Sahaspur Dehradun. Co-ed boarding CBSE est. 2000. Alt: +91 7217056772.
ecole-globale,Hills,medium,std,Ecole Globale International Girls' School,Dehradun,Uttarakhand,Principal,principal@ecoleglobale.com,+91 9557291888,,,https://www.ecoleglobale.com,Vocal Harmony + Music Theory,Cambridge curriculum girls boarding combines academic rigor with arts — a vocal harmony workshop fits your residential weekend programming,high,Village Horawalla Near Sahaspur Dehradun 248197. Alt: ecoleglobale@gmail.com / viceprincipal@ecoleglobale.com.
unison,Hills,medium,std,Unison World School,Dehradun,Uttarakhand,Ms. Divya Dwivedi (Principal),info@uws.edu.in,+91 98370 22222,,https://facebook.com/unisonworldschool,https://uws.edu.in,Multi-instrumental masterclass,All-girls residential school with a formal Music Society — your visit could anchor one of their Music Society events,high,Kirsali Greens Mussoorie Diversion Road Dehradun. All-girls ICSE/ISC/IGCSE. Est. 2007. Alt: admissions@uws.edu.in.
lawrence-sanawar,Hills,high,std,The Lawrence School Sanawar,Sanawar,Himachal Pradesh,Headmaster's Office,office@sanawar.edu.in,+91 1792 261208,,,https://www.sanawar.edu.in,Multi-instrumental residency + Vocal Harmony,Asia's oldest co-ed boarding school (1847) — includes Hindustani Vocal Music alongside Western creating a perfect multi-tradition setting,high,Sanawar Distt. Solan HP 173202. Alt: 261209 / 261229.
sherwood,Hills,medium,std,Sherwood College,Nainital,Uttarakhand,Mr. Amandeep Sandhu (Principal),contact@sherwood.edu.in,+91 5942 236361,,,https://www.sherwood.edu.in,Multi-instrumental masterclass,1869 heritage and alumni including Amitabh Bachchan reflect a strong arts tradition,high,Ayarpatta Nainital 263002. NOTE: Nainital not Mussoorie — adjust routing. Est. 1869. Alt: principal@sherwood.edu.in.
bishop-cotton-shimla,Hills,medium,std,Bishop Cotton School Shimla,Shimla,Himachal Pradesh,Headmaster's Office,secy@bishopcotton.com,+91 177 2620880,,,https://bishopcottonshimla.com,Multi-instrumental masterclass,Established Christian boarding tradition and active music program since 1859,high,Shimla Bypass Near Khalini Shimla HP 171002. Alt: headmaster@bishopcotton.com.
trinity-pondi,South,high,std,Trinity School of Music Pondicherry,Pondicherry,Pondicherry,J. Gaspar Arokiaraj Mouttapa (Founder Principal),trinitymusique2000@yahoo.com,+91 413 2221582,,,http://trinitymusic.org,Multi-instrumental masterclass,Founded 1996 — the state's first public Western music school — honoured with 'Kalaimamani' title,medium,Alt: trinitymusic2000@yahoo.com (try both). 56 Laporte Street MG Road Area Puducherry 605001.
auroville,South,high,std,Auroville (SVARAM / Sri Aurobindo Auditorium),Auroville,Pondicherry,,avfoundation@auroville.org.in,+91 9360123054,,,https://auroville.org,Vocal Harmony + performance + theatre music workshop,Auroville's extraordinary theatre and music tradition since 1969 makes it one of the most international artistic spaces in India,high,For music specifically: SVARAM svaram@auroville.org.in / svaramprograms@auroville.org.in / +91 8300236075. 750-seat auditorium.
pondi-univ,South,medium,std,Pondicherry University Music Department,Pondicherry,Pondicherry,,vcoffice@pondiuni.edu.in,+91 413 2654201,,,https://pondiuni.edu.in,Music Theory & Ear Training,Central University with formal music programs,low,Try music@pondiuni.edu.in. Phone via main university switchboard.
